name,ttm,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"9,345,000,000","8,773,000,000","5,788,000,000","4,307,000,000","9,452,000,000","8,906,000,000","9,140,000,000","11,663,000,000","11,272,000,000","10,502,000,000","9,735,000,000","9,276,000,000","8,783,000,000","8,068,000,000"
	OperatingRevenue,"3,883,000,000","3,634,000,000","2,365,000,000","1,527,000,000","3,665,000,000","3,570,000,000","3,390,000,000","7,217,000,000","7,142,000,000","6,811,000,000","6,330,000,000","6,152,000,000","5,856,000,000","5,431,000,000"
CostOfRevenue,"6,515,000,000","6,075,000,000","4,133,000,000","3,724,000,000","7,017,000,000","6,655,000,000","6,931,000,000","8,494,000,000","8,195,000,000","7,710,000,000","7,282,000,000","7,112,000,000","6,808,000,000","6,280,000,000"
GrossProfit,"2,830,000,000","2,698,000,000","1,655,000,000","583,000,000","2,435,000,000","2,251,000,000","2,209,000,000","3,169,000,000","3,077,000,000","2,792,000,000","2,453,000,000","2,164,000,000","1,975,000,000","1,788,000,000"
OperatingExpense,"607,000,000","604,000,000","638,000,000","702,000,000","859,000,000","819,000,000","837,000,000","1,302,000,000","1,303,000,000","1,119,000,000","1,351,000,000","1,010,000,000","980,000,000","1,211,000,000"
	SellingGeneralAndAdministration,"382,000,000","382,000,000","405,000,000","311,000,000","441,000,000","443,000,000","434,000,000","616,000,000","611,000,000","491,000,000","748,000,000","460,000,000","416,000,000","637,000,000"
		GeneralAndAdministrativeExpense,"382,000,000","382,000,000","405,000,000","311,000,000","441,000,000","443,000,000","434,000,000","616,000,000","611,000,000","491,000,000","748,000,000","460,000,000","416,000,000","637,000,000"
			OtherGandA,"382,000,000","382,000,000","405,000,000","311,000,000","441,000,000","443,000,000","434,000,000","616,000,000","611,000,000","491,000,000","748,000,000","460,000,000","416,000,000","637,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"155,000,000","162,000,000","188,000,000","331,000,000","346,000,000","325,000,000","347,000,000","686,000,000","692,000,000","628,000,000","603,000,000","550,000,000","564,000,000","574,000,000"
		DepreciationAndAmortizationInIncomeStatement,"155,000,000","162,000,000","188,000,000","331,000,000","346,000,000","325,000,000","347,000,000","686,000,000","692,000,000","628,000,000","603,000,000","550,000,000","564,000,000","574,000,000"
	OtherOperatingExpenses,"70,000,000","60,000,000","45,000,000","60,000,000","72,000,000","51,000,000","56,000,000","4,446,000,000","4,130,000,000","3,691,000,000","3,405,000,000","3,124,000,000","2,927,000,000","2,637,000,000"
