WiFi_Network,breakfast,parking,gym,flex_check,shuttle_bus,air_pure,jacuzzi,VIP_shop,pool_temp,avg_rating
Basic,None,Valet,None,No,No,No,No,No,76,4.57
Basic,None,Valet,None,No,No,No,No,No,80,7.6
Basic,None,Valet,None,No,No,No,No,No,84,5.66
Basic,None,Valet,None,No,No,No,No,Yes,76,2.8
Basic,None,Valet,None,No,No,No,No,Yes,80,4.56
Basic,None,Valet,None,No,No,No,No,Yes,84,5.12
Basic,None,Valet,None,No,No,No,Yes,No,76,2.44
Basic,None,Valet,None,No,No,No,Yes,No,80,2.66
Basic,None,Valet,None,No,No,No,Yes,No,84,4.22
Basic,None,Valet,None,No,No,No,Yes,Yes,76,7.39
Basic,None,Valet,None,No,No,No,Yes,Yes,80,6.78
Basic,None,Valet,None,No,No,No,Yes,Yes,84,7.28
Basic,None,Valet,None,No,No,Yes,No,No,76,6.71
Basic,None,Valet,None,No,No,Yes,No,No,80,3.78
Basic,None,Valet,None,No,No,Yes,No,No,84,6.77
Basic,None,Valet,None,No,No,Yes,No,Yes,76,7.69
Basic,None,Valet,None,No,No,Yes,No,Yes,80,2.51
Basic,None,Valet,None,No,No,Yes,No,Yes,84,5.49
Basic,None,Valet,None,No,No,Yes,Yes,No,76,6.77
Basic,None,Valet,None,No,No,Yes,Yes,No,80,4.07
Basic,None,Valet,None,No,No,Yes,Yes,No,84,5.08
Basic,None,Valet,None,No,No,Yes,Yes,Yes,76,5.56
Basic,None,Valet,None,No,No,Yes,Yes,Yes,80,3.42
Basic,None,Valet,None,No,No,Yes,Yes,Yes,84,7.83
Basic,None,Valet,None,No,Yes,No,No,No,76,3.17
Basic,None,Valet,None,No,Yes,No,No,No,80,3.68
Basic,None,Valet,None,No,Yes,No,No,No,84,5.51
Basic,None,Valet,None,No,Yes,No,No,Yes,76,5.15
Basic,None,Valet,None,No,Yes,No,No,Yes,80,4.95
Basic,None,Valet,None,No,Yes,No,No,Yes,84,5.72
Basic,None,Valet,None,No,Yes,No,Yes,No,76,5.89
Basic,None,Valet,None,No,Yes,No,Yes,No,80,4.89
Basic,None,Valet,None,No,Yes,No,Yes,No,84,5.91
Basic,None,Valet,None,No,Yes,No,Yes,Yes,76,7.36
Basic,None,Valet,None,No,Yes,No,Yes,Yes,80,7.39
Basic,None,Valet,None,No,Yes,No,Yes,Yes,84,8.67
Basic,None,Valet,None,No,Yes,Yes,No,No,76,3.29
Basic,None,Valet,None,No,Yes,Yes,No,No,80,6.43
Basic,None,Valet,None,No,Yes,Yes,No,No,84,2.81
Basic,None,Valet,None,No,Yes,Yes,No,Yes,76,4.32
Basic,None,Valet,None,No,Yes,Yes,No,Yes,80,6.62
Basic,None,Valet,None,No,Yes,Yes,No,Yes,84,8.08
Basic,None,Valet,None,No,Yes,Yes,Yes,No,76,5.09
Basic,None,Valet,None,No,Yes,Yes,Yes,No,80,7.08
Basic,None,Valet,None,No,Yes,Yes,Yes,No,84,4.63
Basic,None,Valet,None,No,Yes,Yes,Yes,Yes,76,2.42
Basic,None,Valet,None,No,Yes,Yes,Yes,Yes,80,7.48
Basic,None,Valet,None,No,Yes,Yes,Yes,Yes,84,6.36
Basic,None,Valet,None,Yes,No,No,No,No,76,4.34
Basic,None,Valet,None,Yes,No,No,No,No,80,6.88
Basic,None,Valet,None,Yes,No,No,No,No,84,6.32
Basic,None,Valet,None,Yes,No,No,No,Yes,76,7.17
Basic,None,Valet,None,Yes,No,No,No,Yes,80,6.03
Basic,None,Valet,None,Yes,No,No,No,Yes,84,6.91
Basic,None,Valet,None,Yes,No,No,Yes,No,76,7.33
Basic,None,Valet,None,Yes,No,No,Yes,No,80,6.15
Basic,None,Valet,None,Yes,No,No,Yes,No,84,2.85
Basic,None,Valet,None,Yes,No,No,Yes,Yes,76,4.24
Basic,None,Valet,None,Yes,No,No,Yes,Yes,80,9.19
Basic,None,Valet,None,Yes,No,No,Yes,Yes,84,9.71
Basic,None,Valet,None,Yes,No,Yes,No,No,76,8.17
Basic,None,Valet,None,Yes,No,Yes,No,No,80,2.65
Basic,None,Valet,None,Yes,No,Yes,No,No,84,5.03
Basic,None,Valet,None,Yes,No,Yes,No,Yes,76,6.14
Basic,None,Valet,None,Yes,No,Yes,No,Yes,80,5.56
Basic,None,Valet,None,Yes,No,Yes,No,Yes,84,4.83
Basic,None,Valet,None,Yes,No,Yes,Yes,No,76,5.03
Basic,None,Valet,None,Yes,No,Yes,Yes,No,80,5.65
Basic,None,Valet,None,Yes,No,Yes,Yes,No,84,7.57
Basic,None,Valet,None,Yes,No,Yes,Yes,Yes,76,2.78
Basic,None,Valet,None,Yes,No,Yes,Yes,Yes,80,5.04
Basic,None,Valet,None,Yes,No,Yes,Yes,Yes,84,7.05
Basic,None,Valet,None,Yes,Yes,No,No,No,76,4.31
Basic,None,Valet,None,Yes,Yes,No,No,No,80,5.21
Basic,None,Valet,None,Yes,Yes,No,No,No,84,6.64
Basic,None,Valet,None,Yes,Yes,No,No,Yes,76,9.09
Basic,None,Valet,None,Yes,Yes,No,No,Yes,80,5.76
